address,name,category,status,file,notes
0x8001c784,s_RPS13_VEILSIDE_8001c784,string_data,MATCHED,,
0x8001c7ac,s_BCNR33_ESPRIT_8001c7ac,string_data,MATCHED,,
0x8001c7c0,s_BNR32_AUTOSELECT_8001c7c0,string_data,MATCHED,,
0x8001c7d8,s_NB8C_RE_AMAMIYA_8001c7d8,string_data,MATCHED,,
0x8001c7f0,s_JZA80_TOP_SECRET_8001c7f0,string_data,MATCHED,,
0x8001c808,s_JZX100_ESPRIT_8001c808,string_data,MATCHED,,
0x8001c81c,s_GC8_JUN_8001c81c,string_data,MATCHED,,
0x8001c82c,s_FD3S_RE_AMAMIYA_8001c82c,string_data,MATCHED,,
0x8001c888,s_EP91_JAM_8001c888,string_data,MATCHED,,
0x8001c898,s_EK9_TOP_FUEL_8001c898,string_data,MATCHED,,
0x8001c8ac,s_DC2_TOP_FUEL_8001c8ac,string_data,MATCHED,,
0x8001c8c0,s_AP1_AMUSE_8001c8c0,string_data,MATCHED,,
0x8001c8d4,s_AE86_JAM_8001c8d4,string_data,MATCHED,,
0x8001c8e4,s_JZZ30_8001c8e4,string_data,MATCHED,,
0x8001c8ec,DAT_8001c8ec,game,TODO,,
0x8001c8f0,s_SXE10_8001c8f0,string_data,MATCHED,,
0x8001c8f8,DAT_8001c8f8,game,TODO,,
0x8001c900,DAT_8001c900,game,TODO,,
0x8001c904,DAT_8001c904,game,TODO,,
0x8001c908,DAT_8001c908,game,TODO,,
0x8001c910,s_RPS13_8001c910,string_data,MATCHED,,
0x8001c918,s_BNR34_8001c918,string_data,MATCHED,,
0x8001c920,s_BCNR33_8001c920,string_data,MATCHED,,
0x8001c928,s_BNR32_8001c928,string_data,MATCHED,,
0x8001c930,DAT_8001c930,game,TODO,,
0x8001c938,s_JZA80_8001c938,string_data,MATCHED,,
0x8001c940,s_JZX100_8001c940,string_data,MATCHED,,
0x8001c948,DAT_8001c948,game,TODO,,
0x8001c94c,DAT_8001c94c,game,TODO,,
0x8001c96c,DAT_8001c96c,game,TODO,,
0x8001c974,DAT_8001c974,game,TODO,,
0x8001c978,DAT_8001c978,game,TODO,,
0x8001c97c,DAT_8001c97c,game,TODO,,
